timestamp,bead_x,bead_y,bead_z
171.541748,-0.001346,-0.041243,0.139944
171.545898,-0.000837,-0.0418,0.141992
171.550049,-0.000921,-0.04133,0.142059
171.554199,-0.001338,-0.04053,0.140232
171.55835,-0.000769,-0.039407,0.136783
171.5625,-0.000623,-0.03645,0.132209
171.56665,-0.000978,-0.031963,0.126807
171.570801,-0.00058,-0.027318,0.120981
171.575073,-0.000157,-0.021759,0.115222
171.579224,-0.000408,-0.014725,0.109981
171.583374,0.000048,-0.007936,0.106073
171.587524,0.000229,-0.001837,0.103698
171.591675,0.000457,0.005421,0.10192
171.595825,0.000658,0.011815,0.101237
171.599976,0.000689,0.01687,0.101268
171.604248,0.000989,0.022786,0.101542
171.608398,0.001024,0.027546,0.102632
171.612549,0.001006,0.03043,0.104266
171.616699,0.001336,0.033795,0.106028
171.62085,0.001145,0.036543,0.108281
171.625,0.000931,0.037349,0.110494
171.62915,0.001384,0.038735,0.112691
171.633301,0.001426,0.040434,0.114667
171.637573,0.000937,0.040401,0.116358
171.641724,0.001231,0.04011,0.117972
171.645874,0.001684,0.041203,0.119087
171.650024,0.001262,0.041611,0.11992
171.654175,0.001131,0.040645,0.120392
171.658325,0.001502,0.040729,0.120489
171.662476,0.001338,0.041386,0.120539
171.666748,0.001193,0.040701,0.120909
171.670898,0.001364,0.040528,0.121672
171.675049,0.00141,0.04109,0.122681
171.679199,0.001378,0.040886,0.124012
171.68335,0.001416,0.039954,0.12559
171.6875,0.001231,0.039136,0.127493
171.69165,0.001337,0.038435,0.129561
171.695801,0.001375,0.036447,0.131788
171.700073,0.001067,0.034245,0.134034
171.704224,0.001269,0.031999,0.136281
171.708374,0.001,0.028152,0.138264
171.712524,0.000906,0.023953,0.139716
171.716675,0.001096,0.019408,0.14066
171.720825,0.000605,0.01346,0.140745
171.724976,0.000499,0.007249,0.14008
171.729248,0.000582,0.000858,0.138625
171.733398,0.000083,-0.006052,0.136031
171.737549,-0.000139,-0.01285,0.132758
171.741699,-0.000181,-0.019551,0.128394
171.74585,-0.000515,-0.025706,0.123395
171.75,-0.000795,-0.031109,0.118072
171.75415,-0.001178,-0.035521,0.113066
171.758301,-0.001204,-0.039045,0.10843
171.762573,-0.001073,-0.041534,0.104848
171.766724,-0.001208,-0.042333,0.102588
171.770874,-0.001193,-0.042188,0.102231
171.775024,-0.000896,-0.042142,0.104011
171.779175,-0.001175,-0.041276,0.10748
171.783325,-0.001479,-0.040136,0.112614
171.787476,-0.001087,-0.039716,0.118905
171.791748,-0.000902,-0.039801,0.125761
171.795898,-0.00117,-0.040191,0.132217
171.800049,-0.001221,-0.0408,0.137238
171.804199,-0.001084,-0.041507,0.14041
171.80835,-0.001043,-0.041476,0.141286
171.8125,-0.001206,-0.040647,0.139388
171.81665,-0.000766,-0.038775,0.134961
171.820801,-0.000618,-0.034627,0.128468
171.825073,-0.000923,-0.027902,0.121031
171.829224,-0.000439,-0.019392,0.113604
171.833374,0.000142,-0.009036,0.107623
171.837524,0.000035,0.002163,0.103664
171.841675,0.000732,0.013143,0.10158
171.845825,0.001156,0.023913,0.102071
171.849976,0.000954,0.032365,0.105684
171.854248,0.001279,0.038007,0.111822
171.858398,0.001461,0.040363,0.119221
171.862549,0.001256,0.039217,0.1268
171.866699,0.001189,0.034038,0.133662
171.87085,0.00104,0.024872,0.138657
171.875,0.00064,0.012209,0.140154
171.87915,0.000367,-0.002958,0.137218
171.883301,-0.000216,-0.015382,0.129661
171.887573,-0.000841,-0.028118,0.119949
171.891724,-0.001083,-0.038656,0.11053
171.895874,-0.001161,-0.042397,0.103873
171.900024,-0.001056,-0.040194,0.102448
171.904175,-0.001038,-0.039758,0.108147
171.908325,-0.001221,-0.042188,0.12026
171.912476,-0.001028,-0.040526,0.133002
171.916748,-0.000858,-0.038928,0.140513
171.920898,-0.001143,-0.040745,0.140914
171.925049,-0.000816,-0.038793,0.135233
171.929199,-0.000462,-0.03134,0.126064
171.93335,-0.000641,-0.020598,0.115789
171.9375,0.000042,-0.006856,0.106814
171.94165,0.000801,0.008161,0.10148
171.945801,0.000779,0.019702,0.101369
171.950073,0.000983,0.031563,0.105222
171.954224,0.001422,0.039453,0.111725
171.958374,0.001253,0.040069,0.119186
171.962524,0.001216,0.03809,0.127008
171.966675,0.001429,0.035138,0.133958
171.970825,0.000931,0.025853,0.139057
171.974976,0.000561,0.011292,0.140545
171.979248,0.000435,-0.002089,0.137327
171.983398,-0.000281,-0.014928,0.129705
171.987549,-0.000744,-0.028959,0.119948
171.991699,-0.000847,-0.038404,0.110393
171.99585,-0.001195,-0.041144,0.103721
172,-0.001198,-0.039722,0.102167
172.00415,-0.000868,-0.04103,0.108049
172.008301,-0.00116,-0.042168,0.119851
172.012573,-0.001117,-0.039262,0.132402
172.016724,-0.000765,-0.039454,0.140108
172.020874,-0.001023,-0.04177,0.140651
172.025024,-0.000933,-0.038355,0.135137
172.029175,-0.000559,-0.030695,0.125935
172.033325,-0.000463,-0.021498,0.115628
172.037476,-0.000085,-0.00752,0.106816
172.041748,0.000554,0.008522,0.101632
172.045898,0.00089,0.019767,0.101571
172.050049,0.000975,0.030518,0.105326
172.054199,0.001251,0.039535,0.11177
172.05835,0.001297,0.040995,0.119394
172.0625,0.001241,0.037681,0.127129
